,make,model,year,style,distance,engine_capacity,fuel_type,transmission,price
421,82,723,2008.0,9,179000.0,1400.0,4,1,7200.0
422,14,203,2021.0,3,0.0,1589.0,4,0,14500.0
423,72,328,2002.0,4,230000.0,1400.0,4,1,950.0
425,67,72,2001.0,10,278000.0,2000.0,0,1,2650.0
426,26,695,2004.0,11,200000.0,1600.0,3,1,3000.0
427,19,288,2011.0,3,202176.0,1500.0,0,1,6900.0
428,72,703,2009.0,10,265000.0,1800.0,4,1,5950.0
429,82,545,2011.0,11,244000.0,1600.0,0,1,9600.0
430,72,613,2016.0,10,188000.0,1422.0,0,1,7750.0
431,60,594,2011.0,5,207000.0,1500.0,0,1,7800.0
432,27,350,2018.0,10,33339.0,2000.0,5,0,20800.0
433,55,626,2008.0,10,180000.0,5461.0,4,0,14000.0
434,27,337,2017.0,11,160000.0,1500.0,0,1,7200.0
435,55,289,2008.0,10,230000.0,1800.0,3,0,7700.0
436,82,545,1995.0,11,1.0,200.0,4,1,1450.0
437,55,289,2000.0,10,303000.0,2000.0,3,0,3800.0
438,19,648,2012.0,4,111896.0,1200.0,4,1,3499.0
439,79,570,2012.0,11,165000.0,1800.0,2,0,9200.0
440,79,145,2015.0,11,169265.0,1800.0,2,0,12650.0
441,37,370,2007.0,4,172316.0,1400.0,4,1,2800.0
443,55,468,2013.0,3,122000.0,3500.0,0,0,34000.0
444,55,178,2017.0,10,127000.0,2000.0,4,0,21990.0
445,8,51,2007.0,10,193000.0,1988.0,4,0,7600.0
446,6,111,1996.0,10,256000.0,1800.0,4,1,2300.0
447,83,750,2013.0,11,162000.0,2400.0,5,0,15000.0
449,79,150,2007.0,1,220000.0,1600.0,4,1,6500.0
450,37,820,2012.0,9,199000.0,2000.0,0,1,11800.0
451,72,524,2014.0,10,216000.0,1600.0,0,0,10700.0
461,83,748,2016.0,4,184500.0,1500.0,4,0,15499.0
467,82,375,2019.0,4,26000.0,1400.0,4,0,12990.0
471,82,421,2013.0,10,188000.0,1400.0,2,0,8800.0
472,72,328,2012.0,11,212700.0,1200.0,0,1,5450.0
473,61,143,2005.0,11,270000.0,1800.0,4,1,3500.0
474,82,546,2013.0,10,60000.0,2000.0,4,0,12700.0
475,48,605,2005.0,9,178000.0,2989.0,3,0,9800.0
476,16,217,2011.0,3,90000.0,2200.0,0,0,13300.0
477,79,150,2014.0,10,143000.0,2000.0,0,1,11700.0
478,55,359,2017.0,9,47000.0,3000.0,4,0,54000.0
479,55,289,2008.0,10,230000.0,1800.0,3,0,7800.0
480,68,96,2007.0,10,194777.0,2000.0,4,0,5000.0
481,72,524,2008.0,11,200000.0,1900.0,0,1,5000.0
482,79,574,2016.0,4,144000.0,1800.0,2,0,12300.0
483,83,133,1995.0,4,5000.0,2400.0,0,1,1700.0
484,55,289,2002.0,10,256000.0,2700.0,0,0,5500.0
485,8,783,2005.0,9,193000.0,3000.0,0,0,11850.0
486,79,150,2006.0,10,1.0,200.0,0,1,1500.0
487,61,143,2006.0,4,250000.0,1300.0,0,1,4500.0
488,82,421,2015.0,10,173000.0,1400.0,4,0,8600.0
489,8,783,2015.0,9,185000.0,2999.0,0,0,34000.0
490,79,451,2006.0,9,220000.0,2700.0,3,0,13500.0
